"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2023","41.03","41.20","41.67","41.03","62.16M","-1.11%"
"06/09/2023","41.49","41.46","41.70","41.23","83.67M","-0.65%"
"05/09/2023","41.76","41.69","42.26","41.47","52.60M","-0.52%"
"04/09/2023","41.98","42.32","42.58","41.80","52.76M","-0.33%"
"01/09/2023","42.12","42.40","42.58","42.07","304.42M","-0.54%"
"31/08/2023","42.35","42.96","43.22","42.35","225.10M","-1.12%"
"30/08/2023","42.83","43.09","43.58","42.80","103.74M","-0.19%"
"29/08/2023","42.91","42.17","42.96","42.17","177.66M","2.66%"
"25/08/2023","41.80","42.11","42.51","41.73","69.69M","-0.78%"
"24/08/2023","42.13","42.34","42.63","42.03","85.48M","0.62%"
"23/08/2023","41.87","41.91","42.25","41.76","113.40M","0.34%"
"22/08/2023","41.73","42.34","42.40","41.73","158.28M","-0.86%"
"21/08/2023","42.09","42.07","42.71","42.07","104.57M","-0.36%"
"18/08/2023","42.24","42.25","42.62","41.95","116.03M","-0.40%"
"17/08/2023","42.41","41.99","42.67","41.96","101.30M","0.76%"
"16/08/2023","42.09","42.27","42.42","42.02","152.68M","-0.92%"
"15/08/2023","42.48","42.76","42.97","42.23","88.34M","-0.84%"
"14/08/2023","42.84","42.81","43.08","42.69","551.18M","-0.26%"
"11/08/2023","42.95","42.92","43.20","42.72","88.14M","-0.12%"
"10/08/2023","43.00","43.02","43.27","42.88","146.85M","0.51%"
"09/08/2023","42.78","43.20","43.43","42.70","332.47M","0.21%"
"08/08/2023","42.69","42.89","43.16","42.31","143.32M","-1.11%"
"07/08/2023","43.17","43.26","43.49","42.91","96.74M","0.07%"
"04/08/2023","43.14","43.14","43.27","42.73","81.53M","0.51%"
"03/08/2023","42.92","42.20","43.19","41.96","334.68M","-0.79%"
"02/08/2023","43.26","43.68","44.08","43.13","139.47M","-2.44%"
"01/08/2023","44.34","44.60","44.92","44.23","90.13M","-1.34%"
"31/07/2023","44.94","45.06","45.30","44.85","97.52M","-0.40%"
"28/07/2023","45.12","44.87","45.47","44.81","184.03M","0.16%"
"27/07/2023","45.05","45.19","45.73","44.90","122.91M","-0.62%"
"26/07/2023","45.33","44.26","45.46","43.70","267.84M","-1.65%"
"25/07/2023","46.09","45.98","46.43","45.78","81.60M","0.09%"
"24/07/2023","46.05","45.48","46.05","45.31","60.83M","0.44%"
"21/07/2023","45.85","46.41","46.58","45.79","103.75M","-1.06%"
"20/07/2023","46.34","46.77","47.02","46.10","109.73M","-0.77%"
"19/07/2023","46.70","46.76","47.12","46.18","150.55M","2.21%"
"18/07/2023","45.69","44.99","45.83","44.74","89.27M","1.90%"
"17/07/2023","44.84","44.21","45.05","44.14","74.73M","1.08%"
"14/07/2023","44.36","44.66","44.84","44.36","122.89M","-0.83%"
"13/07/2023","44.73","44.38","44.85","44.08","91.88M","0.47%"
"12/07/2023","44.52","43.55","44.89","43.48","215.93M","2.65%"
"11/07/2023","43.37","42.98","43.37","42.72","215.76M","0.74%"
"10/07/2023","43.05","42.98","43.34","42.90","70.44M","-0.09%"
"07/07/2023","43.09","43.21","43.27","42.69","77.21M","-0.48%"
"06/07/2023","43.30","43.35","44.01","43.03","192.94M","-1.21%"
"05/07/2023","43.83","43.70","44.27","43.52","168.32M","-0.11%"
"04/07/2023","43.88","44.33","44.44","43.88","133.41M","-0.79%"
"03/07/2023","44.23","43.91","44.37","43.88","74.26M","1.47%"
"30/06/2023","43.59","43.21","44.10","42.93","159.23M","1.92%"
"29/06/2023","42.77","42.65","43.00","42.50","144.06M","0.28%"
"28/06/2023","42.65","42.55","42.80","42.27","130.26M","0.35%"
"27/06/2023","42.50","42.05","42.70","42.04","162.69M","1.29%"
"26/06/2023","41.96","42.03","42.19","41.24","287.36M","-0.85%"
"23/06/2023","42.32","42.66","42.76","42.17","171.27M","-1.37%"
"22/06/2023","42.91","43.28","43.56","42.91","181.30M","-1.90%"
"21/06/2023","43.74","43.83","44.48","43.42","193.13M","-2.39%"
"20/06/2023","44.81","45.00","45.16","44.76","126.24M","-0.51%"
"19/06/2023","45.04","44.87","45.14","44.84","121.86M","-0.02%"
"16/06/2023","45.05","45.11","45.18","44.76","380.77M","0.22%"
"15/06/2023","44.95","45.23","45.23","44.78","144.81M","-0.73%"
"14/06/2023","45.28","45.35","45.38","45.01","142.08M","-0.04%"
"13/06/2023","45.30","45.05","45.40","44.76","266.90M","0.71%"
"12/06/2023","44.98","45.41","45.56","44.98","116.11M","-0.64%"
"09/06/2023","45.27","45.50","45.77","45.19","79.61M","-0.13%"
"08/06/2023","45.33","45.73","45.96","45.27","84.44M","-0.40%"
"07/06/2023","45.51","45.40","45.79","45.11","122.81M","0.75%"
"06/06/2023","45.17","44.56","45.45","44.15","210.46M","0.98%"
"05/06/2023","44.73","45.77","45.87","44.53","93.50M","-1.58%"
"02/06/2023","45.45","44.78","45.50","44.68","98.54M","1.77%"
"01/06/2023","44.66","44.49","45.50","44.04","338.56M","1.11%"
"31/05/2023","44.17","45.08","45.39","44.17","363.49M","-2.32%"
"30/05/2023","45.22","45.22","46.02","44.94","259.65M","-0.64%"
"26/05/2023","45.51","46.00","46.09","45.30","217.96M","-0.70%"
"25/05/2023","45.83","46.44","47.18","45.83","229.96M","-2.01%"
"24/05/2023","46.77","47.22","47.46","46.60","349.52M","-1.72%"
"23/05/2023","47.59","47.16","47.59","46.88","144.15M","1.38%"
"22/05/2023","46.94","46.77","47.02","46.62","352.88M","0.47%"
"19/05/2023","46.72","46.66","46.92","46.45","129.31M","0.45%"
"18/05/2023","46.51","46.85","46.98","46.38","122.69M","0.45%"
"17/05/2023","46.30","45.50","46.30","45.13","158.07M","1.31%"
"16/05/2023","45.70","46.12","46.38","45.70","216.39M","-1.23%"
"15/05/2023","46.27","45.91","46.27","45.61","241.49M","1.56%"
"12/05/2023","45.56","46.04","46.30","45.56","210.33M","-0.70%"
"11/05/2023","45.88","46.15","46.53","45.34","148.53M","-0.63%"
"10/05/2023","46.17","46.53","46.84","45.90","131.97M","0.09%"
"09/05/2023","46.13","45.78","46.42","45.61","365.76M","0.70%"
"05/05/2023","45.81","45.59","46.37","45.51","142.55M","1.01%"
"04/05/2023","45.35","45.91","46.36","45.05","158.37M","-1.37%"
"03/05/2023","45.98","47.60","48.05","45.30","296.93M","-3.57%"
"02/05/2023","47.68","48.00","48.76","47.68","208.14M","-1.08%"
"28/04/2023","48.20","48.56","48.62","47.25","193.29M","-1.27%"
"27/04/2023","48.82","48.64","49.27","48.52","93.69M","0.45%"
"26/04/2023","48.60","48.31","48.69","47.67","105.80M","0.77%"
"25/04/2023","48.23","48.60","48.72","47.84","170.55M","-1.39%"
"24/04/2023","48.91","48.70","49.37","48.60","115.86M","0.10%"
"21/04/2023","48.86","49.55","49.59","48.63","105.29M","-0.31%"
"20/04/2023","49.01","49.57","49.84","48.84","114.01M","-0.51%"
"19/04/2023","49.26","48.78","49.38","48.72","84.94M","0.88%"
"18/04/2023","48.83","48.80","49.24","48.70","92.55M","0.78%"
"17/04/2023","48.45","49.20","49.33","48.24","131.58M","-1.00%"
"14/04/2023","48.94","48.34","49.19","48.22","127.78M","0.89%"
"13/04/2023","48.51","49.88","49.88","48.02","154.34M","-2.75%"
"12/04/2023","49.88","49.58","50.30","49.48","243.82M","0.91%"
"11/04/2023","49.43","48.91","49.90","48.91","165.07M","0.84%"
"06/04/2023","49.02","48.37","49.30","48.31","114.28M","1.22%"
"05/04/2023","48.43","48.30","48.97","48.02","104.84M","0.69%"
"04/04/2023","48.10","48.38","48.83","48.03","175.66M","-0.27%"
"03/04/2023","48.23","48.12","48.84","46.79","110.99M","1.17%"
"31/03/2023","47.67","47.70","48.13","47.41","134.25M","-0.21%"
"30/03/2023","47.77","47.45","48.09","47.24","213.51M","1.38%"
"29/03/2023","47.12","46.34","47.18","46.34","80.54M","1.55%"
"28/03/2023","46.40","46.95","47.19","46.09","218.59M","0.17%"
"27/03/2023","46.32","46.36","46.80","45.84","138.32M","1.31%"
"24/03/2023","45.72","46.45","46.60","44.90","203.59M","-2.41%"
"23/03/2023","46.85","47.61","48.12","46.85","221.66M","-1.93%"
"22/03/2023","47.77","47.82","49.04","47.70","206.73M","-0.81%"
"21/03/2023","48.16","46.65","48.70","46.65","149.46M","4.47%"
"20/03/2023","46.10","44.81","46.73","43.66","229.19M","-0.32%"
"17/03/2023","46.25","47.81","48.70","45.80","471.30M","-2.57%"
"16/03/2023","47.47","46.85","47.91","46.74","295.66M","3.15%"
"15/03/2023","46.02","48.27","48.58","45.57","238.85M","-4.58%"
"14/03/2023","48.23","47.44","48.77","46.53","187.38M","2.12%"
"13/03/2023","47.23","50.00","50.06","47.18","276.58M","-5.10%"
"10/03/2023","49.77","49.70","50.24","48.91","224.82M","-3.28%"
"09/03/2023","51.46","51.57","51.69","51.30","89.50M","-0.27%"
"08/03/2023","51.60","50.88","51.88","50.76","96.33M","0.49%"
"07/03/2023","51.35","52.13","52.19","51.21","190.33M","-0.81%"
"06/03/2023","51.77","51.74","51.99","51.17","101.88M","-0.04%"
"03/03/2023","51.79","51.31","51.79","51.24","84.55M","0.88%"
"02/03/2023","51.34","51.80","51.87","51.02","174.89M","-1.19%"
"01/03/2023","51.96","52.62","52.89","51.96","241.61M","-1.25%"
"28/02/2023","52.62","51.40","52.94","51.32","263.41M","1.60%"
"27/02/2023","51.79","51.84","52.30","51.70","110.73M","0.25%"
"24/02/2023","51.66","52.00","52.16","51.50","221.05M","-0.65%"
"23/02/2023","52.00","51.30","52.31","51.08","154.76M","1.44%"
"22/02/2023","51.26","50.10","51.54","49.44","187.57M","0.57%"
"21/02/2023","50.97","51.56","51.56","50.73","147.38M","-1.11%"
"20/02/2023","51.54","51.09","51.94","51.02","92.72M","1.24%"
"17/02/2023","50.91","51.24","51.80","50.29","325.43M","-3.83%"
"16/02/2023","52.94","52.65","53.06","52.45","81.11M","1.07%"
"15/02/2023","52.38","53.00","53.24","50.92","178.29M","-2.62%"
"14/02/2023","53.79","53.12","54.04","53.00","122.99M","1.36%"
"13/02/2023","53.07","53.43","53.70","53.04","67.40M","-0.41%"
"10/02/2023","53.29","53.49","54.10","53.01","203.87M","-1.26%"
"09/02/2023","53.97","53.61","54.33","53.48","540.54M","0.60%"
"08/02/2023","53.65","53.73","53.97","53.23","76.76M","0.37%"
"07/02/2023","53.45","53.13","53.70","52.96","174.46M","1.17%"
"06/02/2023","52.83","53.54","53.74","52.48","167.12M","-0.94%"
"03/02/2023","53.33","53.42","53.50","52.40","95.03M","-0.30%"
"02/02/2023","53.49","53.05","53.77","52.79","119.59M","0.96%"
"01/02/2023","52.98","52.75","53.08","52.37","253.56M","0.76%"
"31/01/2023","52.58","52.79","52.99","52.16","145.95M","-0.75%"
"30/01/2023","52.98","52.53","53.07","51.98","214.85M","0.74%"
"27/01/2023","52.59","52.77","52.86","52.42","94.22M","0.17%"
"26/01/2023","52.50","51.20","52.67","51.00","163.52M","3.04%"
"25/01/2023","50.95","50.13","51.50","49.95","152.74M","1.64%"
"24/01/2023","50.13","50.00","50.26","49.67","123.33M","0.64%"
"23/01/2023","49.81","49.53","49.81","49.30","85.09M","1.10%"
"20/01/2023","49.27","49.10","49.50","48.87","222.98M","0.96%"
"19/01/2023","48.80","48.84","49.29","48.41","122.34M","-1.35%"
"18/01/2023","49.47","49.45","50.07","49.16","109.10M","-0.06%"
"17/01/2023","49.50","49.90","49.91","49.32","266.20M","-0.50%"
"16/01/2023","49.75","49.76","49.91","49.38","164.37M","0.26%"
"13/01/2023","49.62","48.99","49.98","48.76","148.14M","1.78%"
"12/01/2023","48.75","48.15","48.84","47.79","121.97M","1.39%"
"11/01/2023","48.08","48.05","48.12","47.34","175.32M","0.10%"
"10/01/2023","48.03","47.74","48.31","47.74","95.19M","-0.46%"
"09/01/2023","48.25","48.23","48.69","47.85","209.91M","0.50%"
"06/01/2023","48.01","48.41","48.46","47.83","280.18M","-0.62%"
"05/01/2023","48.31","47.38","48.47","46.85","208.04M","1.81%"
"04/01/2023","47.45","47.35","47.48","46.98","116.82M","0.68%"
"03/01/2023","47.13","46.05","47.13","45.77","174.99M","3.79%"
